id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c,Алексей Навальный,1 day ago,1502446212204,"Ребят, помогайте пожалуйста поднимать видео в топ. Огромная работа - разоблачили генералов, выпиливших сотни миллионов бюджетных рублей. Хочется, чтобы больше людей об этом узнали.",7537,true,441,,,,,,
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370398388254,LE6P0H,1 day ago,1502446217928,"Алексей Навальный не вопрос Алексей, сделаем)",182
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370409593853,AVG Elmucho,1 day ago,1502446217930,Нэвэльный вперёд!!!,133
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370448607667,Михаил Владимирович,1 day ago,1502446217932,"Сравнивается стоимость автомобиля в базовая комплектации и стоимость с уже подготовленным автомобилем для нужд МВД. Т.е. элементарно - нанести нужный цвет на автомобиль, нанести надписи ""Полиция"", прикрепить мигалки, антенну и рации в салон. Это же все денег стоит ! Натянули все за уши! Дизлайк короче....",92
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370455788237,Россиянин,1 day ago,1502446217934,"Алексей Навальный  хорошо ,)))))",73
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370477736946,Сердита Я,1 day ago,1502446217935,Алексей Навальный 20!8,76
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370489972164,Tik Tak,1 day ago,1502446217937,"Ребята, я считаю, что вы должны не только разоблачать дела гнилых чинуш, но и направлять эту информацию в прокуратуру, суды. Да, многое куплено, но если делать это регулярно, то есть шанс, что там найдутся честные люди, не побоявшиеся выступить против сгнившей системы.",68
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370508979846,Dize,1 day ago,1502446217939,Боты с дизлайками опаздывают чет))),74
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370512395023,Вова М,1 day ago,1502446217940,"камикадзе в беде, помогай человеку !!!",105
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370556580797,Гамзат Расулов,1 day ago,1502446217942,Алексей Навальный мы то с удовольствием поможем поднять в топ .но не дадут по-любому счас боты набегут с камазом дизлайка,51
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370584222120,kolabrod,1 day ago,1502446217944,"Все для тебя, Люба",59
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370619632134,Fira,1 day ago,1502446217946,если будут боты сюда набегать то оно как раз в топ и выйдет,41
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370628810673,*Максим* *Вачовски*,1 day ago,1502446217948,Расскажите пожалуйста про то как живут важные люди государства в других цивилизованных странах,57
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370645499993,Karelskaya,1 day ago,1502446217952,Алексей Навальный без б,24
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370683035687,Арсалан Бальжинимаев,1 day ago,1502446217954,Михаил Владимирович Ты ебанутый?чем слушл?там все указывается в базовых компликтациях,58
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370712886799,MrSchweppes,1 day ago,1502446217956,"На Дмитрия Иванова (Камикадзе) возбуждают уголовное дело!
ФБК, поддержите пожалуйста Дмитрия Иванова (Камикадзе)! Не оставайтесь в стороне.
Ребята поддержите лайками",131
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370715186904,Михаил Владимирович,1 day ago,1502446217958,"Блядь, Соболь под лошадь-собчачку косит что ли?! Не пойму... Бред в итоге она говорит  в видео, натянуто все за уши и рассчитано на недалекое поколение - ягуара.",25
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370794132565,Li Harvey Oswald,1 day ago,1502446217959,"Михаил Владимирович, че вас пидоров на Савушкина еще не наебнули? Час расплаты близок.",74
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370860691084,KaDbIPOB TV,1 day ago,1502446217961,а ничего что это закупка только автомобиля. Остальное идет в отдельную госзакупку. Это ведь работа. Здесь продается ТОЛЬКО автомобиль в БАЗОВОЙ комплектации .,50
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370877512933,Юрий Козырев,1 day ago,1502446217963,Вова М надо спасать камикадзе!! Посадят парня ни за что..,37
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370907058591,Игорь Баринов,1 day ago,1502446217965,Лёша.убери эту тупую с глаз долой,7
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370921523059,Александр Королев,1 day ago,1502446217967,"Алексей Навальный в топ
Навальный 20!8",37
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370987577202,GREECE RUSSIA,1 day ago,1502446217969,"Арсалан Бальжинимаев Ебанашка, подготавливают машины не менты а завод производитель.",13
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370988919690,Михаил Добрый,1 day ago,1502446217971,"Фура с дизлайками Карнавальному приехала!
Помогайте разгружать, что бы хотя бы 50% дизов набрать этому клоуну!",13
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370988965027,Мистер НеКарнаух,1 day ago,1502446217972,"MrSchweppes Навальный с Соболем смотрели на стриме, обращение Камикадзе, Навальный поддерживает, че его не поддерживать то? он все правильно делает",13
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370991729282,Житуха Бандюгана,1 day ago,1502446217974,"НЭВЭЛЬНЫЙ, У ТЕБЯ В ИРКУТСКЕ НЕ ШТАБ, А ВЕРАНДА ОТ САРАЯ!!!!!!!!!!!!!!!!!",3
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370995360639,Михаил Владимирович,1 day ago,1502446217976,"Это ты ебанутый, эта соболь может пиздит так как ей написали редакторы. А по существу пройдись сам и посмотри заказ, уважаемый Арсалан Бальжинимаев !",8
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502370999518785,Алексей шиловский,1 day ago,1502446217978,"чурка,а ты в курсе что дизлайки так же продвигают видео в топ,как и лайки",7
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371012445608,Алексей Ли,1 day ago,1502446217980,"Алексей Навальный зачем помогать врунам?""юристка""фбк конченная дура да и все у вас тупые некомпетентные брехуны,выборы пройдут без навального,нам не нужен президент судимый за экономические преступления некомпетентный ни в своей профессии юриста,ни в других отраслях ,тупой дебил",17
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371053587525,GREECE RUSSIA,1 day ago,1502446217981,"Вова М гомикадзе в пизде, продаёт Россию пендосам.",8
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371061804203,Kevin Drexler,1 day ago,1502446217984,"Михаил Владимирович Ты можешь почитать детальные данные по госконтракту, там цена за базовый автомобиль с конкретной комплектацией. Все упомянутые тобой доработки производятся уже после, в специализированном гараже МВД, за отдельные деньги. Chevrolet или ГАЗ рациями и мигалками не занимаются)",51
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371085454908,Михаил Владимирович,1 day ago,1502446217985,Хуявушкина ...,3
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371130936376,Li Harvey Oswald,1 day ago,1502446217987,"Алексей Ли, забавно что у вас, хуесосов с Савушкина, у всех 0 аккаунты, вас же пидоров за сотню верст видно. Вас же хуесосов на деревьях вздернут",49
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371191078216,Лёша Жорин,1 day ago,1502446217989,"бла бля бла больше ничего донать нам мы вам будем красиво говорить что единая россия плохая . 
хватит болтать делаете дела в суде, а то вы только на словах против коррупции,.Суды только против вас .",5
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371201148837,Константин Дубовсков,1 day ago,1502446217991,Алексей Навальный,10
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371218609931,AleAnA AleAnA,1 day ago,1502446217993,"ДАААААААААААААААА, КАПИТАН НАОБОРДАЖНЫЙ))))",0
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371219434874,Igor Mamedov,1 day ago,1502446217995,не удивляет. А что такое МВД?,5
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371288124211,Михаил Владимирович,1 day ago,1502446217997,"Какой еще сука к хуям вонючим ""Спец.гараж МВД"" ?! Что за бред ебаный ты по голове...?!",7
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371292157304,MILLEnna,1 day ago,1502446217999,"Лёша Жорин, вот именно, эта компашка дальше Ютуба что-то не двигается! Раньше у них была отмазка, что денег нет. Теперь то чего их держит??",5
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371350020792,Алексей шиловский,1 day ago,1502446218003,"чурка ты неграмотная,в автосалоне автомобиль стоит дешевле в базовой,а цена по которой МВД покупает машине выше,потму что это спец заказ,покраска мигалки и т.д это все как бы денег стоит",10
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371373812592,Алексей шиловский,1 day ago,1502446218005,соболь-это Собчак курильщика,6
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371395119574,Li Harvey Oswald,1 day ago,1502446218006,"Боты с Савушкина в коментах: Лёша Жорин, Михаил Владимирович, Алексей Ли. Щас еще подоспеют",41
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371469282983,Артем Кдочников,1 day ago,1502446218008,"Ребята, не ленитесь распространять информацию о той правде, которая происходит у нас в стране, кто как может!",22
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371492341919,Дмитрий,1 day ago,1502446218010,"Алексей Навальный 
Все об этом и без вас знают. Хватит это снимать открытия никакого нет. Уже давно отписался от этого бреда. А оно ещё и в топ лезет. Делай а не говори Навальный . Со Стрелковым интервью все показало Стрелков более толковый человек. И ты ему на евро вопросы основные так и не ответил . Из за этого утратил мое доверие к тебе. Ты не можешь и не станешь президентом .",6
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371502426385,Алексей Ли,1 day ago,1502446218011,"KaDbIPOB TV нет не идет,машину закупают в компании,а компания производит доработку машин для служебных нужд,по этому и покупают у них,а если бы просто машины брали то покупали бы их у производителя",8
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371547146922,Li Harvey Oswald,1 day ago,1502446218013,"Дмитрий, вата нахуй отсюда.",24
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371557523252,Михаил Владимирович,1 day ago,1502446218015,"Инфа для тех кто умом тронулся насчет ""Савушкина"". Я подписан на этот канал и посещал все крупные мероприятия. Но то, что касается этого видео, у меня просто пиздец пукан лопнул... Это же блядь бред натянуй за уши...",10
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371583718647,Виктор Ткаченко,1 day ago,1502446218016,Алексей Навальный Иди на х.й чмо зеленое вместе со своей ковырялкой ты про честные милиарды Шойгу покажи!,4
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371586922108,Алексей Ли,1 day ago,1502446218018,"GREECE RUSSIA не завод,а компания у которой мвд покупает их,гос.закупка,по этому цена и отличается,",1
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371588712642,Ilya Kovalchuk,1 day ago,1502446218020,"Ам, она же сказал что они отправили данные в суд, дибил, это называется распространение информации.",15
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371593168357,Александр Зорин,1 day ago,1502446218022,аплодируем стоя!!!,16
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371748599774,Павел ман,1 day ago,1502446218024,Дерзай ЛЁХА. Президентом тебе не быть но Авторитетом быть обязан.,8
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371795930281,Василий Козлов,1 day ago,1502446218026,"Всегда испытываю странное чувство, когда ставлю ""Мне понравилось"", потому что то о чем идет речь, мне совсем не нравится.",23
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371838685581,Артем Абрамов,1 day ago,1502446218028,Павел ман уголовники долго на воле не задерживаются.,2
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371842706478,Алексей Ли,1 day ago,1502446218029,"Kevin Drexler нет не в гараже мвд,в просторечье хозо,компания которая выиграла гос.закупку и оборудуют эти автомобили,в хозо занимаются лишь тех.обслуживанием и ремонтом,машины уже приходят оборудованные",6
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371843269330,FReIMEnigma,1 day ago,1502446218031,В топ.,10
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371845042978,MrSchweppes,1 day ago,1502446218033,"Мистер НеКарнаух, посмотри последнее видео Камикадзе.",6
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371872523423,Alec,1 day ago,1502446218034,Путина и всех этих его продажных силовиков - воров на нары!!!,16
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371880062506,Владимир Ленин,1 day ago,1502446218036,Нечего себе тут кремлеботов!,13
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371954790112,Sv Sm,1 day ago,1502446218038,"Августу Джексон,так,Ленин,я хоть в какойто мере тобой немного восхищаюсь,но больше никаких красных революций,только демократические,окда,договорились?",1
